Name,Companies,Involved in
John Doe,"Company A, Company B","Anime X, Manga Y"
Jane Smith,Company C,Video Game Z
"Andrew Hodgson, Steiner","PQube Games, J-Novel Club",The Ancient Magus' Bride
Ben Bateman,Unknown,"Guilty Gear series, Mind Zero, Zero Escape, Agarest War
Jamie Marchi,Funimation,Miss Kobayashi's Dragon Maid"
Kate Cwynar,Square Enix,Final Fantasy XIV
Katrina Leonoudakis,"Funimation, HIDIVE, Sentai Filmworks, Deluxe, Atlus, Sega","I Think I Turned My Childhood Friend Into a Girl, The Ancient Magus' Bride, Persona 3 Portable, Persona 4 Golden, Higurashi no Naku Koro ni, 2.5 Dimensional Seduction, My Life as Inukai's Dog, Dark Gathering, 13 Sentinels: Aegis Rim"
Richard Honeywood,Alpha Translations,Xenogears
Abby Lark,—,—
Addaberry,Geofront,—
Alex Valles,—,—
arnastia,—,—
"Bernard, dearchosenone",—,—
"Caitlin Not Anymoore, alltsun_odere",—,—
Cassiel Merricat,—,—
Clea Filsooth,—,—
"Daiz, Daiz42",—,—
Derk Bramer,—,—
Derek Heemsbergen,"XSEED Games, Marvelous USA, Inc.",—
DigDugpa,—,—
"Dobu Wobu, Dobu_Dobu",—,—
"Gamma, GammaPT",—,—
"H. Anthony Israel, Blick Winkel, blockwonkel",—,—
herkzzz,—,—
highimpactsex,—,—
Hunter Prigg,—,—
"Intumesce, MKHloc",—,"Azur Lane, Arknights, Eiyu Senki WWX, Closed Game"
"itsnotmyfault, itsnotmyfault01",—,—
Jake Jung,—,—
Jon Riesenbach,—,—
"Kaylyn, kaymozone",—,—
Kevin Frane,—,—
Kim Morrisy,—,—
Klayton Vorlick,—,—
Kris Knigge,—,—
Lazarus_DS,—,—
LightArrowsEXE,—,—
"Livi, AnonymousAxolotl",Geofront,—
"Maisy, Maisykuv",—,—
Matthias Hirsh,—,—
"Melanie Clegg, Meru",Love Lab,—
moogy0,—,—
Nich Maragos,—,—
Nob Ogasawara,—,—
"Oni Dino, Oni_Dino",—,—
"rei miyasaka, ragingrei",—,—
"RM-2R, ramtower",—,—
"Sarah Moon, SarahKTranslate",—,—
"Scott, KillScottKill",Geofront,—
Seibahtoe,—,—
"Stephen Meyerink, sjmtaelus",—,—
Tom James,—,—
Tyson Rinehart,—,—
Xythar,—,—
"yukino, yukinogatari",—,—
Zack Davisson,—,—

